make,model,part,total_paid
FORD,FOCUS,Fuel Injectors,398.92
FORD,KA,Gearbox (Various Faults),397.20
FORD,TRANSIT,Electrical ,396.80
FORD,FIESTA,Oil Leaks,394.91
FORD,FIESTA,Alternator,394.87
FORD,TRANSIT,Alternator,393.23
FORD,RANGER PICKUP,Alternator,392.90
FORD,MONDEO,Brakes (Various Faults),390.63
FORD,TOURNEO,Electrical ,389.57
FORD,TRANSIT,Fuel System,387.62
FORD,TRANSIT,Engine (Various Faults),386.70
FORD,C-MAX,Abs (Various Faults),385.53
FORD,MONDEO,Air Con (Various Faults),384.60
FORD,TRANSIT,Electrical ,384.00
FORD,FOCUS,,383.65
FORD,KUGA,E.G.R Valve,382.98
FORD,FIESTA,Clutch (Various Faults),382.24
FORD,S-MAX,Fuel Injectors,381.44
FORD,KUGA,Starter Motor,380.44
FORD,S-MAX,Clutch (Various Faults),380.28
FORD,TRANSIT,Fuel Injectors,380.00
FORD,FOCUS,Electrical ,379.08
FORD,KUGA,E.G.R Valve,378.99
FORD,FIESTA,Sensors,378.46
FORD,FIESTA,Fuel System,376.12
FORD,C-MAX,Catalyst (Exhaust),375.00
FORD,MONDEO,Gearbox (Various Faults),374.02
FORD,MONDEO,Cooling Fan Motor,373.80
FORD,RANGER PICKUP,Fuel Vapouriser,373.63
FORD,TRANSIT,Sensors,373.11
FORD,MONDEO,Fuel Injectors,372.50
FORD,TRANSIT,Clutch (Various Faults),371.54
FORD,RANGER PICKUP,Abs (Various Faults),371.42
FORD,FOCUS,Steering Pipe,369.34
FORD,KUGA,Fuel System,367.67
FORD,FIESTA,Clutch (Various Faults),367.33
FORD,MONDEO,Fuel Injectors,365.67
FORD,FIESTA,Alternator,363.98
FORD,TRANSIT,Steering Pump,363.88
FORD,C-MAX,Fuel Injectors,363.68
FORD,FOCUS,Steering Rack,362.11
FORD,FUSION,E.G.R Valve,360.37
FORD,TRANSIT,Fuel System (Various Faults),359.88
FORD,TRANSIT,Starter Motor,359.60
FORD,TRANSIT,Clutch (Various Faults),359.27
FORD,FOCUS,Electrical ,359.11
FORD,S-MAX,Fuel System,358.10
FORD,FOCUS ST,Sensors,357.21
FORD,FOCUS,Clutch (Various Faults),356.76
FORD,GALAXY,Electrical ,354.02
FORD,FOCUS,Starter Motor,354.00
FORD,FIESTA ST,Suspension (Various Faults),352.70
FORD,FIESTA,Fuel Lift Pump,350.89
FORD,FOCUS,Starter Motor,350.08
FORD,FIESTA,Catalyst (Exhaust),350.00
FORD,TRANSIT,Clutch (Various Faults),350.00
FORD,GALAXY,Clutch (Various Faults),350.00
FORD,B-MAX,Clutch (Various Faults),350.00
FORD,TRANSIT,Clutch (Various Faults),350.00
FORD,RANGER PICKUP,Heater/Glow Plugs,349.68
FORD,FOCUS,Window Regulator,349.22
FORD,FOCUS ST,Abs (Various Faults),348.00
